Dummy ID,Date of Txn,Transaction type,Amount
214186426,12Jun2017,D,25100
189978484,12Jun2017,D,13026
144992380,12Jun2017,D,4250
135946588,12Jun2017,C,500000
126021112,12Jun2017,C,1600
124379248,12Jun2017,C,7300
119099968,12Jun2017,D,1000
119011984,12Jun2017,D,14500
99207718,12Jun2017,D,1675
97468210,12Jun2017,D,1900
95313118,12Jun2017,D,732
89761504,12Jun2017,C,275
87800716,12Jun2017,D,500
82824190,12Jun2017,D,240
81864922,12Jun2017,C,110000
49037644,12Jun2017,D,153
31765498,12Jun2017,C,2550000
30707692,12Jun2017,D,40000
25119586,12Jun2017,C,10000
166859818,13Jun2017,C,1873
156894976,13Jun2017,D,42415
152907046,13Jun2017,C,1086
129261976,13Jun2017,C,6400
128482822,13Jun2017,D,97270
120789502,13Jun2017,C,7500
114699310,13Jun2017,C,6000
104303182,13Jun2017,C,69300
78433276,13Jun2017,C,400
78195892,13Jun2017,D,500
78433276,13Jun2017,C,1000
78433276,13Jun2017,C,100000
